=+proj=longlat +ellps=GRS80 +no_defs +type=crs,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,image, x (long), y (lat), z (alt), yaw, pitch, roll, h_accuracy, v_accuracy, label,,,,
Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),,,,,RMS Error Up (m),,,,RMS Error North (m),RMS Error East (m)
2,100_0002_0033.JPG,-38.75141423,143.6700586,99.443,,,,,0.036,,,,0.015,0.013
2,100_0002_0034.JPG,-38.7512097,143.6698621,99.591,,,,,0.033,,,,0.014,0.011
2,100_0002_0035.JPG,-38.7512057,143.6698489,99.423,,,,,0.03,,,,0.014,0.011
2,100_0002_0036.JPG,-38.75150077,143.6697982,98.705,,,,,0.023,,,,0.01,0.009
2,100_0002_0037.JPG,-38.75175473,143.6697587,99.108,,,,,0.022,,,,0.009,0.007
2,100_0002_0038.JPG,-38.75178924,143.6697737,99.044,,,,,0.021,,,,0.009,0.008
2,100_0002_0039.JPG,-38.75200828,143.6699854,98.561,,,,,0.027,,,,0.011,0.009
2,100_0002_0040.JPG,-38.75222066,143.6701931,99.023,,,,,0.032,,,,0.013,0.011
2,100_0002_0041.JPG,-38.75243508,143.6703996,99.215,,,,,0.035,,,,0.015,0.012
2,100_0002_0042.JPG,-38.75264787,143.670604,99.116,,,,,0.036,,,,0.015,0.013
2,100_0002_0043.JPG,-38.75286165,143.670814,99.554,,,,,0.034,,,,0.015,0.012
2,100_0002_0044.JPG,-38.75307565,143.6710202,99.479,,,,,0.03,,,,0.014,0.01
2,100_0002_0045.JPG,-38.75325523,143.6711926,99.747,,,,,0.024,,,,0.011,0.009
2,100_0002_0046.JPG,-38.75354494,143.6712145,99.166,,,,,0.022,,,,0.009,0.008
2,100_0002_0047.JPG,-38.75366401,143.6712276,99.232,,,,,0.021,,,,0.009,0.008
2,100_0002_0048.JPG,-38.75392963,143.6712641,99.011,,,,,0.027,,,,0.013,0.009
2,100_0002_0049.JPG,-38.75399588,143.6712673,99.117,,,,,0.029,,,,0.013,0.01
2,100_0002_0050.JPG,-38.75376194,143.6710398,98.835,,,,,0.035,,,,0.015,0.012
2,100_0002_0051.JPG,-38.7535487,143.6708342,98.851,,,,,0.036,,,,0.015,0.013
2,100_0002_0052.JPG,-38.75333417,143.6706273,98.786,,,,,0.034,,,,0.014,0.012
2,100_0002_0053.JPG,-38.75312352,143.6704218,99.073,,,,,0.029,,,,0.012,0.01
2,100_0002_0054.JPG,-38.75290719,143.6702128,99.449,,,,,0.024,,,,0.01,0.008
2,100_0002_0055.JPG,-38.75269388,143.6700043,99.759,,,,,0.021,,,,0.01,0.007
2,100_0002_0056.JPG,-38.75248258,143.6697972,99.72,,,,,0.021,,,,0.009,0.008
2,100_0002_0057.JPG,-38.75234669,143.6696667,99.809,,,,,0.029,,,,0.013,0.009
2,100_0002_0058.JPG,-38.75264444,143.6696652,99.103,,,,,0.034,,,,0.015,0.012
2,100_0002_0059.JPG,-38.75291316,143.6696666,98.954,,,,,0.036,,,,0.015,0.013
2,100_0002_0060.JPG,-38.75302225,143.6696741,98.931,,,,,0.035,,,,0.015,0.013
2,100_0002_0061.JPG,-38.75325222,143.6698961,98.734,,,,,0.031,,,,0.013,0.011
2,100_0002_0062.JPG,-38.75346586,143.6701079,99.11,,,,,0.026,,,,0.011,0.009
2,100_0002_0063.JPG,-38.75367861,143.6703129,99.193,,,,,0.022,,,,0.011,0.008
2,100_0002_0064.JPG,-38.75389243,143.6705227,99.394,,,,,0.02,,,,0.01,0.007
2,100_0002_0065.JPG,-38.75410676,143.6707307,99.567,,,,,0.024,,,,0.01,0.008
