Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
3,100_0010_0119.JPG,-38.74747913,143.67116996,102.727,0.014,0.010,0.036
3,100_0010_0120.JPG,-38.74741879,143.67113807,102.969,0.013,0.012,0.042
3,100_0010_0121.JPG,-38.74715498,143.67129842,102.200,0.011,0.012,0.036
3,100_0010_0122.JPG,-38.74695817,143.67141988,102.308,0.013,0.013,0.043
3,100_0010_0123.JPG,-38.74722436,143.67158610,101.993,0.017,0.017,0.055
3,100_0010_0124.JPG,-38.74746178,143.67173235,102.172,0.018,0.015,0.048
3,100_0010_0125.JPG,-38.74770300,143.67187814,102.371,0.018,0.014,0.046
3,100_0010_0126.JPG,-38.74794544,143.67202762,102.548,0.019,0.021,0.065
3,100_0010_0127.JPG,-38.74807050,143.67211042,102.285,0.020,0.018,0.052
3,100_0010_0128.JPG,-38.74788290,143.67216947,102.207,0.011,0.010,0.026
3,100_0010_0129.JPG,-38.74764122,143.67234179,102.658,0.011,0.011,0.032
3,100_0010_0130.JPG,-38.74758122,143.67237888,102.720,0.012,0.012,0.033
3,100_0010_0131.JPG,-38.74731900,143.67222270,101.725,0.016,0.015,0.044
3,100_0010_0132.JPG,-38.74707375,143.67206631,102.142,0.019,0.018,0.052
3,100_0010_0133.JPG,-38.74683231,143.67191915,102.460,0.020,0.019,0.056
3,100_0010_0134.JPG,-38.74659218,143.67177149,102.473,0.020,0.019,0.056
3,100_0010_0135.JPG,-38.74651166,143.67172613,102.581,0.016,0.015,0.042
3,100_0010_0136.JPG,-38.74625754,143.67191096,101.905,0.015,0.017,0.054
3,100_0010_0137.JPG,-38.74609534,143.67203634,101.835,0.012,0.013,0.038
3,100_0010_0138.JPG,-38.74635788,143.67219972,101.702,0.011,0.013,0.038
3,100_0010_0139.JPG,-38.74660053,143.67234690,102.035,0.013,0.012,0.034
